cycle,px_hex,py_hex,v_hex,theta_hex,delta_hex,a_hex,z_hex,p11_hex,p22_hex,p33_hex,p44_hex,p55_hex,p66_hex,p77_hex
46,0000B55311C6,FFFD9E6856D4,0002E900BBED,FFFFFFC7C1AD,FFFFF73F430C,FFFFF66B6BF5,FFFFF71AB5CA,000001F3A766,000001E8D511,00002CB6832C,000001848EDC,000000D7F197,0000D35BF533,000000E7AFF6
47,0000B618211D,FFFD98A2E990,0002EA8EC55B,0000015FE708,FFFFF78DC88D,FFFFF7025EC7,FFFFF7244206,000001EE2604,000001F44E5A,000023C34DF8,00000106032F,000000738712,0000D629E4CB,000000E7AFF5
48,0000B518AE5C,FFFD92709829,0002E3F84293,FFFFFFA3570D,FFFFF684241A,FFFFF4C935AC,FFFFF745BD9B,000001EF2F90,000001DD7314,000025163A3E,000004D6F6BD,000000BF375A,0000DA0B1F28,000000E7AFF6
49,0000B208614F,FFFD8BD8BA5E,0002E50AEF85,0000045F5E15,FFFFF6B6842B,FFFFF54C9A1C,FFFFF7776C79,000001F4E56C,000001F155B5,00002227917B,0000044C0805,000000C77B6A,0000DD0DC97D,000000E7AFF5
50,0000B44F3D93,FFFD8680A1AB,0002E5BBCC14,000002FE02B1,FFFFF65E3CBD,FFFFF5A3CE77,FFFFF725A2CD,000001DA43D4,000001EBF576,00002BA7B853,000003570EB1,000000BC5201,0000E1F4A19C,000000E7AFF6
51,0000B2486C5E,FFFD7E781887,0002E462D8E1,000000D4C73A,FFFFF6166447,FFFFF52AF322,FFFFF6DAF34D,000001EFD243,000001FC1E2A,00002FDA0372,0000027548AC,000000D56F91,0000E5EC54B7,000000E7AFF5
52,0000AF216482,FFFD7A55A355,0002DD853377,FFFFFF6DB903,FFFFF7CBD56C,FFFFF28DE902,FFFFF666EFE8,000001E4FEBC,000001B50B61,000036A2A6D4,0000013F3E3F,000000DA81EF,0000EA597486,000000E7AFF6
53,0000AF8F8329,FFFD6C96397C,0002DC94E6AA,000003F4B061,FFFFF82163CE,FFFFF24FEA8A,FFFFF60EC02E,000001E39A63,000001F35E60,0000418108BC,0000082D9243,000000EDF84F,0000EF6742DC,000000E7AFF5
54,0000ADE91451,FFFD62040E5D,0002DE8670D4,0000082E88EE,FFFFF77993FA,FFFFF32F75C0,FFFFF5F58974,000001E94F30,000001EEF5B8,0000464262FD,000004F9E93A,00000094B28B,0000F3777AF7,000000E7AFF6
55,0000AABB070E,FFFD56D7AA7A,0002DF3DF99F,000000390251,FFFFF7616F3C,FFFFF39500D6,FFFFF60726F2,000001EC23A4,000001FC4684,000040F45C13,0000032555A0,000000EA2465,0000F5BE80F9,000000E7AFF5
56,0000A3A29A64,FFFD511EB062,0002D2B8675F,000002116B43,FFFFF7D6BA1A,FFFFEE7A4EA3,FFFFF63274D8,000001D3C432,0000019C1C25,000043F52577,000003AC34E8,000000F6EB6D,0000F96267A8,000000E7AFF6
57,0000A451640F,FFFD411F448D,0002D1851D4A,000000D6D75E,FFFFF7D2B541,FFFFEE1F1F0C,FFFFF5BAEAA2,000001F283C9,000001FCBAE9,00004400F7A2,0000018275E2,00000093BB5B,0000FC7D7B97,000000E7AFF5
58,0000A23541A1,FFFD3904A60C,0002D1D29396,FFFFFE93199A,FFFFF6BCD9E8,FFFFEE720405,FFFFF6135E1E,000001F75418,000001DFE8FC,00004D15656B,000000F2E474,000000DBDAD0,0001012A40A4,000000E7AFF6
59,0000A0AC27E7,FFFD2C1D2435,0002C4E645D8,0000057B0F65,FFFFF506656A,FFFFE910311F,FFFFF5B727B4,000001F6A921,000001E9245F,00003FFA1CE9,0000020F92BE,00000083C45D,000101C5B8CD,000000E7AFF5
60,00009C28C1BA,FFFD209A5860,0002CF7128EF,FFFFFFCA4AD0,FFFFF3DF2E96,FFFFEDCEA796,FFFFF57D5C1F,000001F7ACFE,000001E35602,00003BC0B78E,000002A65ACC,000000D46340,000103F604E9,000000E7AFF6
61,000098BA5380,FFFD122FDF2B,0002CB6EDD72,FFFFFCE62494,FFFFF336B53E,FFFFEC368174,FFFFF50C3510,000001F465D7,000001F3BABF,00003BC3B6BB,0000011C8B66,000000A5CA41,000106E857A0,000000E7AFF5
62,000093D60306,FFFD07DFC976,0002C731C7C8,FFFFFD6D54C3,FFFFF212D27C,FFFFEA81C93B,FFFFF4291278,000001F66130,000001D6298F,0000461E5F62,000004D01F9F,000000E2FB49,00010BD2260C,000000E7AFF6
63,0000903BFDA1,FFFCF80D2DAB,0002C6719270,000001993377,FFFFF3250A45,FFFFEA6147F3,FFFFF485260D,000001DC60BA,000001F100A8,0000517137F6,000002A916FB,000000ABD43F,000110E379CA,000000E7AFF5
64,00008EF54182,FFFCEBE5FE8E,0002C06B9047,0000013A0DB1,FFFFF3F2B357,FFFFE7E457AE,FFFFF4A95350,000001EEDD2A,000001E74483,0000586644EB,0000031EDD58,000000B3FD02,0001150DBBA2,000000E7AFF6
65,00008B8C5AE5,FFFCDCE434DE,0002C4435D85,0000091A3D01,FFFFF5DB26BB,FFFFE9E1EFC6,FFFFF4618ADD,000001F1B179,000001DA82FB,00006191CC18,000004CC4DB6,000000A3C991,000119969148,000000E7AFF5
66,000086D86592,FFFCCF4E834E,0002BFF137CE,0000004F2488,FFFFF5C75F72,FFFFE81D68CB,FFFFF43C72BB,000001F5BE84,000001FC5055,000052A8954E,000001742F97,000000E8C5A6,00011913589C,000000E7AFF6
67,000084A6F1E0,FFFCC2DE5A90,0002B8C68AB0,000000AA73F0,FFFFF73C017D,FFFFE50808DC,FFFFF4374290,000001E967B5,000001F28B63,0000523E418E,000000EBBA3E,00000059A0A8,00011BA6DFB0,000000E7AFF5
68,00007FBDBEEC,FFFCB50C41E2,0002B914FD6B,FFFFFEC946B7,FFFFF79E078E,FFFFE562B0A9,FFFFF37E6C71,000001F7B3FC,000001E6CD3D,00005DCCBF46,000002AE7A03,000000FB8462,000120B72752,000000E7AFF6
69,00007B611D30,FFFCA8BF8F7A,0002B7201B4A,000003648264,FFFFF7E557BC,FFFFE4BA6A51,FFFFF3420DD0,000001EE3332,000001F2A66C,00006565A0D6,000003A7765B,000000A33BEF,000124EAA1FF,000000E7AFF5
70,00007913D101,FFFC9BC9DC2E,0002C734F4E1,0000068BE450,FFFFF63F68EA,FFFFEC7EC5F7,FFFFF372415F,000001E1AC3E,000001EE4F0A,000059C3A454,000004CA651F,000000C7736C,000124D6C6B8,000000E7AFF6
71,000074DA3664,FFFC928E3DEA,0002C3E2B4E1,FFFFFFCA5E08,FFFFF70C1ADC,FFFFEB00A535,FFFFF2E0386B,000001F70BAB,000001DF07B1,00005A1E9D5B,000001054DD1,000000F3B942,00012748EAA5,000000E7AFF5
72,00006F1843C4,FFFC86FE471A,0002CD67ED43,0000010A6CD3,FFFFF89A5879,FFFFEFA24D96,FFFFF2E75E91,000001ED062C,000001F2FB47,00004348D876,000003EB302E,000000679209,000124CAB80B,000000E7AFF6
73,00006B8F6FA2,FFFC78400CF3,0002CEB5C0E8,FFFFFE3408E5,FFFFF89E8992,FFFFF06A7437,FFFFF258DE94,000001DAE8F9,000001F747EF,00003864E5E2,000003DBDE40,000000E9E489,000124A1E833,000000E7AFF5
74,0000624EC87F,FFFC6CE64921,0002CF8DEB80,FFFFFF84DD37,FFFFF92C23A1,FFFFF0F81B8B,FFFFF2787F32,000001EEFD42,000001E81563,0000428B836E,00000177D02E,000000B7B7BF,000129770393,000000E7AFF5
75,00005DC1128C,FFFC60DA789E,0002D7049FD3,FFFFFF6C450E,FFFFF845F9B8,FFFFF4CBA3C6,FFFFF256CFDB,000001F33BDB,000001D95654,000047697D5F,00000250B972,000000EBF67C,00012CF43EDF,000000E7AFF6
76,000055C5AA9A,FFFC53C74150,0002DDF3D4B4,FFFFFC0F72AD,FFFFFAEBD000,FFFFF8433B99,FFFFF1B2371F,000001F2067D,000001D83CC1,000050626F82,000001892C13,00000093396F,0001316F7D5A,000000E7AFF5
77,00004DE24885,FFFC430E1E54,0002D03BC734,000000F139EA,FFFFF99A8FFF,FFFFF1852CD5,FFFFF20F3FB8,000001F87686,000001E22BE4,00004FA5FB86,00000109A511,000000E0DE98,0001337062ED,000000E7AFF6
