Cycle 91: imm_x=0x00019612052E imm_y=0x0001D66F8ABD imm_z=0xFFFFEB98C8C7 p_ct=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 92: imm_x=0x00019321C4BB imm_y=0x0001DC1E79B0 imm_z=0xFFFFEBD4D0DD p_ct=0x0000001B2CC0 p_si=0x000000028F5C p_bi=0x000000E243E4
Cycle 93: imm_x=0x00018E65E6E4 imm_y=0x0001E81F99C0 imm_z=0xFFFFEC385077 p_ct=0x0000001C20B3 p_si=0x000000028F5C p_bi=0x000000E14FF1
Cycle 94: imm_x=0x00018C8AF00A imm_y=0x0001EB6CBA70 imm_z=0xFFFFEC7BB80F p_ct=0x0000000C8BBA p_si=0x0000000634F2 p_bi=0x000000ED3F54
Cycle 95: imm_x=0x000187078496 imm_y=0x0001F3A9D4E0 imm_z=0xFFFFECE65160 p_ct=0x0000001967FB p_si=0x000000028F5C p_bi=0x000000E408A9
Cycle 96: imm_x=0x00017BBCAEA3 imm_y=0x00020058B29A imm_z=0xFFFFED6D5B5F p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 97: imm_x=0x0001763BE58E imm_y=0x000204823A47 imm_z=0xFFFFEDC29B73 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 98: imm_x=0x00016F50CB61 imm_y=0x000209C93DB7 imm_z=0xFFFFEE1009F1 p_ct=0x00000002B0B9 p_si=0x000000028F5C p_bi=0x000000FABFEB
Cycle 99: imm_x=0x000167DCE8D4 imm_y=0x00020D294FED imm_z=0xFFFFEE668699 p_ct=0x000000C46C06 p_si=0x000000028F5C p_bi=0x00000039049E
Cycle 100: imm_x=0x00016427471B imm_y=0x00020E532F0C imm_z=0xFFFFEEB0DACF p_ct=0x000000EB8078 p_si=0x000000028F5C p_bi=0x00000011F02C
Cycle 101: imm_x=0x00016183260A imm_y=0x00020F68EBC2 imm_z=0xFFFFEEEDBD3A p_ct=0x000000604F88 p_si=0x000000028F5C p_bi=0x0000009D211C
Cycle 102: imm_x=0x00015864763A imm_y=0x00021288C20E imm_z=0xFFFFEF5B5378 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 103: imm_x=0x00014C30EEFE imm_y=0x0002166BE100 imm_z=0xFFFFEFD8CCFB p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 104: imm_x=0x0001403FB3A5 imm_y=0x00021A17A9BB imm_z=0xFFFFF055A7E3 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 105: imm_x=0x00013D6D05E3 imm_y=0x00021B1B081A imm_z=0xFFFFF09AE98C p_ct=0x000000C0445F p_si=0x000000028F5C p_bi=0x0000003D2C45
Cycle 106: imm_x=0x000135AED55D imm_y=0x00021DC6AE10 imm_z=0xFFFFF0E6BB36 p_ct=0x000000D18FF4 p_si=0x000000028F5C p_bi=0x0000002BE0B0
Cycle 107: imm_x=0x000132F6DEAD imm_y=0x00021EEC3CEF imm_z=0xFFFFF1132ED5 p_ct=0x00000087B0DE p_si=0x000000028F5C p_bi=0x00000075BFC6
Cycle 108: imm_x=0x00012B0D7B44 imm_y=0x0002217083B6 imm_z=0xFFFFF13AC81F p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 109: imm_x=0x0001283E2F55 imm_y=0x000222837955 imm_z=0xFFFFF154228F p_ct=0x000000BAC18F p_si=0x000000028F5C p_bi=0x00000042AF15
Cycle 110: imm_x=0x000119A02E11 imm_y=0x00022796D3C4 imm_z=0xFFFFF1A92433 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 111: imm_x=0x00011870179A imm_y=0x000227FF7505 imm_z=0xFFFFF1D17DE5 p_ct=0x000000E13F7C p_si=0x00000011C861 p_bi=0x0000000CF823
Cycle 112: imm_x=0x000109FBD9BF imm_y=0x00022DAFA6AA imm_z=0xFFFFF210D85B p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 113: imm_x=0x00010708F022 imm_y=0x00022FD649B7 imm_z=0xFFFFF233AFC5 p_ct=0x00000054959C p_si=0x000000028F5C p_bi=0x000000A8DB08
Cycle 114: imm_x=0x0000F6DD932A imm_y=0x000239BD39C4 imm_z=0xFFFFF26E8A0F p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
