Cycle 47: imm_x=0x0000A0D1D9FA imm_y=0xFFFF6C8EBB8C imm_z=0xFFFFFB2A828D p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 48: imm_x=0x0000A2077F57 imm_y=0xFFFF67B059C5 imm_z=0xFFFFFB9C31E1 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 49: imm_x=0x0000A170805D imm_y=0xFFFF626826F7 imm_z=0xFFFFFC1208B2 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 50: imm_x=0x0000A4EAD895 imm_y=0xFFFF5DBA595A imm_z=0xFFFFFB81C7B3 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 51: imm_x=0x0000A5E63707 imm_y=0xFFFF57000D95 imm_z=0xFFFFFB39BC9A p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 52: imm_x=0x0000A6E99522 imm_y=0xFFFF51DD7491 imm_z=0xFFFFFABB133C p_ct=0x000000FAE09F p_si=0x000000029005 p_bi=0x000000028F5C
Cycle 53: imm_x=0x0000A9CDEB6D imm_y=0xFFFF4BC02E8A imm_z=0xFFFFFA917146 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 54: imm_x=0x0000ABADC978 imm_y=0xFFFF462CCB6E imm_z=0xFFFFFADD2B5B p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 55: imm_x=0x0000AD1D24B9 imm_y=0xFFFF408658AC imm_z=0xFFFFFB58B3DB p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 56: imm_x=0x0000ACC29F9E imm_y=0xFFFF393175A6 imm_z=0xFFFFFBDDB823 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 57: imm_x=0x0000AE9CCEC8 imm_y=0xFFFF30A0DA46 imm_z=0xFFFFFB16063D p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 58: imm_x=0x0000B0C92DBE imm_y=0xFFFF2A61074D imm_z=0xFFFFFC17E3F5 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 59: imm_x=0x0000B2BEDE7C imm_y=0xFFFF206A8464 imm_z=0xFFFFFB7D8FCA p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 60: imm_x=0x0000B2DC8F47 imm_y=0xFFFF1925CFB2 imm_z=0xFFFFFB620350 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 61: imm_x=0x0000B44E6D0F imm_y=0xFFFF11076A64 imm_z=0xFFFFFAEA80BD p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 62: imm_x=0x0000B4E1E843 imm_y=0xFFFF0AD12143 imm_z=0xFFFFF9BEEE64 p_ct=0x000000FA98BD p_si=0x000000028F5C p_bi=0x00000002D7E7
Cycle 63: imm_x=0x0000B61B569A imm_y=0xFFFF01C03D72 imm_z=0xFFFFFB2D9DB2 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 64: imm_x=0x0000B9B0D25A imm_y=0xFFFEFAAB26EF imm_z=0xFFFFFBB16A5C p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 65: imm_x=0x0000BB5D0F70 imm_y=0xFFFEF044A1A1 imm_z=0xFFFFFB511BEC p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 66: imm_x=0x0000BBF5AFFB imm_y=0xFFFEEA266FF2 imm_z=0xFFFFFB5C8BB9 p_ct=0x000000F7C69A p_si=0x00000005AA0A p_bi=0x000000028F5C
Cycle 67: imm_x=0x0000BD6F7431 imm_y=0xFFFEE2DE1BE3 imm_z=0xFFFFFBA412AF p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 68: imm_x=0x0000BE444F71 imm_y=0xFFFEDC65A7F9 imm_z=0xFFFFFA8C83B8 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 69: imm_x=0x0000BE31795F imm_y=0xFFFED7A7B914 imm_z=0xFFFFFAB0B828 p_ct=0x000000EF5181 p_si=0x0000000C24E7 p_bi=0x000000048998
Cycle 70: imm_x=0x0000BFB363C1 imm_y=0xFFFED074C5C0 imm_z=0xFFFFFB843AC8 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 71: imm_x=0x0000C14AAAA0 imm_y=0xFFFECE2ABB46 imm_z=0xFFFFFAACE5BA p_ct=0x000000EA7FFE p_si=0x00000012F0A6 p_bi=0x000000028F5C
Cycle 72: imm_x=0x0000C051AABC imm_y=0xFFFECC08DAD1 imm_z=0xFFFFFB37B587 p_ct=0x000000F8BC5B p_si=0x00000004B449 p_bi=0x000000028F5C
Cycle 73: imm_x=0x0000C1AB7E4B imm_y=0xFFFEC61A480E imm_z=0xFFFFFA7D9A6E p_ct=0x000000EC61B6 p_si=0x000000072A61 p_bi=0x0000000C73E9
Cycle 74: imm_x=0x0000BDDF1F3E imm_y=0xFFFEC2C3C4C6 imm_z=0xFFFFFB3E2C37 p_ct=0x000000F762D6 p_si=0x000000028F5C p_bi=0x000000060DCE
Cycle 75: imm_x=0x0000C10DF95C imm_y=0xFFFEC13E925A imm_z=0xFFFFFB447DD7 p_ct=0x00000009B6FD p_si=0x000000028F5C p_bi=0x000000F3B9A7
Cycle 76: imm_x=0x0000C0EC8BA1 imm_y=0xFFFEBE842352 imm_z=0xFFFFFA5C3885 p_ct=0x00000044B913 p_si=0x000000028F5C p_bi=0x000000B8B791
Cycle 77: imm_x=0x0000C071BB82 imm_y=0xFFFEB8FD4F36 imm_z=0xFFFFFB98897B p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 78: imm_x=0x0000C0EDA68C imm_y=0xFFFEB5CB9127 imm_z=0xFFFFFB036644 p_ct=0x000000DBFA87 p_si=0x0000001F47D9 p_bi=0x00000004BDA0
Cycle 79: imm_x=0x0000BF276A2A imm_y=0xFFFEB2A80D88 imm_z=0xFFFFFAB8BFB7 p_ct=0x000000F25ABA p_si=0x000000028F5C p_bi=0x0000000B15EA
Cycle 80: imm_x=0x0000C0CA35E5 imm_y=0xFFFEAE957900 imm_z=0xFFFFFB2EADE0 p_ct=0x000000BC6F0A p_si=0x00000041019A p_bi=0x000000028F5C
Cycle 81: imm_x=0x0000C1CEDB71 imm_y=0xFFFEAB843990 imm_z=0xFFFFFBC8CDE0 p_ct=0x0000005EF318 p_si=0x0000009E7D8C p_bi=0x000000028F5C
