Cycle 60: imm_x=0x00009CE0AE73 imm_y=0xFFFD20ED22AD imm_z=0xFFFFF5798896 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 61: imm_x=0x0000995D702A imm_y=0xFFFD13B6364D imm_z=0xFFFFF50FCF12 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 62: imm_x=0x0000952F5C10 imm_y=0xFFFD076304F4 imm_z=0xFFFFF43D0F73 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 63: imm_x=0x0000914202BE imm_y=0xFFFCF95857DE imm_z=0xFFFFF4858A8D p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 64: imm_x=0x00008EBE98F3 imm_y=0xFFFCEC1900F9 imm_z=0xFFFFF49F9A38 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 65: imm_x=0x00008BE4B703 imm_y=0xFFFCDCEB76A8 imm_z=0xFFFFF45B6588 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 66: imm_x=0x000087AFF5A1 imm_y=0xFFFCCFF827A1 imm_z=0xFFFFF435D5CC p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 67: imm_x=0x000084739405 imm_y=0xFFFCC31D2C04 imm_z=0xFFFFF42CEA7F p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 68: imm_x=0x0000808F7DAF imm_y=0xFFFCB5256087 imm_z=0xFFFFF382E0DC p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 69: imm_x=0x00007C133115 imm_y=0xFFFCA899E9E4 imm_z=0xFFFFF3452BFF p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 70: imm_x=0x00007851EBD9 imm_y=0xFFFC9B7A5DA9 imm_z=0xFFFFF368F467 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 71: imm_x=0x000074F47EF1 imm_y=0xFFFC90C5C745 imm_z=0xFFFFF2E09254 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 72: imm_x=0x00006FD58B36 imm_y=0xFFFC85F6F8C4 imm_z=0xFFFFF2E016A4 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
