Cycle 54: imm_x=0x0000AB879771 imm_y=0xFFFF46A731A7 imm_z=0xFFFFFAE8EB9C p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 55: imm_x=0x0000AD382535 imm_y=0xFFFF40E73F10 imm_z=0xFFFFFB1D5F5C p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 56: imm_x=0x0000ADD3590A imm_y=0xFFFF3A3A3323 imm_z=0xFFFFFB6AAF86 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 57: imm_x=0x0000AF13602C imm_y=0xFFFF327072A8 imm_z=0xFFFFFB266A77 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 58: imm_x=0x0000B0B86498 imm_y=0xFFFF2B5542E0 imm_z=0xFFFFFB9BF627 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 59: imm_x=0x0000B2966E3A imm_y=0xFFFF229CF648 imm_z=0xFFFFFB708E42 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 60: imm_x=0x0000B37D8632 imm_y=0xFFFF1A727870 imm_z=0xFFFFFB641BA9 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 61: imm_x=0x0000B4C3388B imm_y=0xFFFF1239C378 imm_z=0xFFFFFB268354 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 62: imm_x=0x0000B598AE44 imm_y=0xFFFF0AF6DF57 imm_z=0xFFFFFA80DD43 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 63: imm_x=0x0000B6A9E331 imm_y=0xFFFF02AC7BFC imm_z=0xFFFFFAF8D449 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 64: imm_x=0x0000B8F064A5 imm_y=0xFFFEFAE6112D imm_z=0xFFFFFB4369BF p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 65: imm_x=0x0000BB1C427A imm_y=0xFFFEF1AF6E6D imm_z=0xFFFFFB2FF845 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 66: imm_x=0x0000BC25FF0C imm_y=0xFFFEE9F49C15 imm_z=0xFFFFFB3BBAFB p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 67: imm_x=0x0000BDECC5D1 imm_y=0xFFFEE29E6161 imm_z=0xFFFFFB649D37 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 68: imm_x=0x0000BED19241 imm_y=0xFFFEDBB6C3B8 imm_z=0xFFFFFAEB9E96 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
